term	ia
GO:0000374	7.098032082960526
GO:0000375	0.20435849850618626
GO:0000376	7.108524456778169
GO:0000377	0.010492373817642385
GO:0000378	3.1699250014423126
GO:0000379	3.0
GO:0000380	3.5130695822393703
GO:0000381	0.6234366485357918
GO:0000387	0.9004643264490856
GO:0000388	0.0
GO:0000389	2.700439718141092
GO:0000390	0.0
GO:0000393	4.807354922057605
GO:0000394	4.142957953842043
GO:0000395	0.0
GO:0000398	0.0
GO:0000409	9.686500527183219
GO:0000410	0.0
GO:0000411	0.0
GO:0000412	0.0
GO:0000413	0.5525410230287788
GO:0000414	3.3692338096657193
GO:0000415	0.0
GO:0000422	0.0
GO:0000423	0.0
GO:0000424	1.0
GO:0000425	0.0
GO:0000426	0.0
GO:0000429	0.0
GO:0000430	0.0
GO:0000431	0.0
GO:0000432	0.0
GO:0000433	0.0
GO:0000434	0.0
GO:0000435	0.0
GO:0000436	0.0
GO:0000437	0.0
GO:0000447	0.0
GO:0000448	0.0
GO:0000449	1.0
GO:0000450	1.0
GO:0000451	3.321928094887362
GO:0000452	0.0
GO:0000454	1.5849625007211563
GO:0000455	0.0
GO:0000457	0.0
GO:0000458	0.0
GO:0000459	0.0
GO:0000460	2.5109619192773796
GO:0000461	0.0
GO:0000462	1.8073549220576042
GO:0000463	0.0
GO:0000464	0.0
GO:0000465	0.0
GO:0000466	1.7369655941662063
GO:0000467	0.0
GO:0000468	0.0
GO:0000469	0.0
GO:0000470	1.5849625007211563
GO:0000471	1.0
GO:0000472	0.0
GO:0000473	2.0
GO:0000474	2.807354922057604
GO:0000475	5.832890014164742
GO:0000476	5.832890014164742
GO:0000477	0.0
GO:0000478	0.0
GO:0000479	0.0
GO:0000480	0.0
GO:0000481	5.832890014164742
GO:0000482	0.0
GO:0000483	1.0
GO:0000484	0.0
GO:0000485	0.0
GO:0000486	0.0
GO:0000487	3.321928094887362
GO:0000488	2.0
GO:0000489	2.807354922057604
GO:0000491	4.044394119358453
GO:0000492	0.0
GO:0000493	2.584962500721156
GO:0000494	0.0
GO:0000495	0.0
GO:0000512	4.321928094887363
GO:0000578	0.0
GO:0000705	3.0
GO:0000706	0.0
GO:0000707	0.0
GO:0000708	0.0
GO:0000709	2.807354922057604
GO:0000710	0.0
GO:0000711	0.0
GO:0000712	0.5849625007211563
GO:0000713	3.0
GO:0000714	0.0
GO:0000715	2.807354922057604
GO:0000716	0.0
GO:0000717	0.0
GO:0000718	0.0
GO:0000719	1.0
GO:0000720	0.0
GO:0000722	0.0
GO:0000723	0.029747343394052068
GO:0000724	0.0
GO:0000725	0.18183832298581312
GO:0000727	6.044394119358453
GO:0000729	3.1813297647145617
GO:0000730	0.0
GO:0000731	0.11103131238874384
GO:0000732	6.491853096329675
GO:0000735	8.519636252843213
GO:0000736	0.0
GO:0000737	1.0
GO:0000738	1.5849625007211563
GO:0000740	1.0
GO:0000741	1.5849625007211563
GO:0000742	0.0
GO:0000743	0.0
GO:0000744	0.0
GO:0000745	0.0
GO:0000747	6.22881869049588
GO:0000748	6.22881869049588
GO:0000749	0.0
GO:0000750	0.0
GO:0000751	0.0
GO:0000752	0.0
GO:0000753	0.0
GO:0000754	0.0
GO:0000755	0.0
GO:0000756	0.0
GO:0000758	0.0
GO:0000760	0.0
GO:0000761	0.0
GO:0000762	0.0
GO:0000765	0.0
GO:0000766	0.0
GO:0000768	0.0
GO:0000769	3.321928094887362
GO:0000770	3.700439718141092
GO:0000819	0.05153030064008207
GO:0000820	0.7369655941662062
GO:0000821	0.5849625007211563
GO:0000902	2.6398981762060414
GO:0000904	0.39854937649027494
GO:0000905	0.0
GO:0000909	0.0
GO:0000910	0.15672550368745308
GO:0000911	5.930737337562886
GO:0000912	3.2479275134435857
GO:0000913	0.0
GO:0000914	0.0
GO:0000915	0.0
GO:0000916	0.0
GO:0000917	0.0
GO:0000918	0.0
GO:0000919	0.0
GO:0000920	6.303780748177103
GO:0000921	0.0
GO:0000947	0.0
GO:0000948	0.0
GO:0000949	0.0
